testdate,expression,movement,quality,benchmarkpct,player_id
09/01/2024,dynamic,jump,land,0.69,7
26/01/2024,dynamic,jump,land,0.668,22
29/01/2024,isometric,upper body,pull,98.6,10
31/01/2024,isometric,sprint,max velocity,92.6,7
04/02/2024,dynamic,jump,pre-load,0.53,10
06/02/2024,isometric,upper body,grapple,86.4,10
17/02/2024,dynamic,upper body,push,0.4345,10
12/03/2024,dynamic,jump,pre-load,0.5,7
13/03/2024,dynamic,agility,deceleration,0.89,10
14/03/2024,dynamic,sprint,max velocity,0.637,7
15/03/2024,isometric,upper body,push,0.704,10
17/03/2024,isometric,jump,pre-load,0.52,22
30/03/2024,dynamic,agility,acceleration,0.44,22
31/03/2024,isometric,upper body,pull,94.7,7
04/04/2024,dynamic,sprint,max velocity,0.628,22
11/04/2024,dynamic,sprint,acceleration,0.433,22
13/04/2024,isometric,sprint,max velocity,-0.2,10
14/04/2024,isometric,jump,pre-load,0.52,7
16/04/2024,isometric,agility,deceleration,1.1365,10
19/04/2024,isometric,agility,acceleration,0.52,10
19/04/2024,dynamic,agility,deceleration,0.89,10
25/04/2024,isometric,agility,rotate,103.4,10
08/05/2024,dynamic,upper body,push,0.43,10
10/05/2024,dynamic,sprint,max velocity,0.625,10
12/05/2024,dynamic,sprint,acceleration,0.43,10
20/05/2024,isometric,sprint,acceleration,0.49,7
26/05/2024,dynamic,jump,pre-load,0.4655,22
14/06/2024,isometric,agility,acceleration,0.49,10
15/06/2024,dynamic,jump,land,0.723,10
17/06/2024,dynamic,jump,land,0.723,10
17/06/2024,dynamic,upper body,push,0.43,10
28/06/2024,dynamic,jump,pre-load,0.4655,10
28/06/2024,dynamic,sprint,acceleration,0.436,10
30/06/2024,dynamic,agility,deceleration,0.89,22
08/07/2024,dynamic,jump,take off,0.687,22
12/07/2024,isometric,jump,land,0.42,10
19/07/2024,isometric,upper body,pull,89.7,22
13/08/2024,dynamic,jump,land,0.652,7
19/08/2024,isometric,sprint,acceleration,0.7305,10
23/08/2024,dynamic,upper body,pull,0.855,7
28/08/2024,dynamic,sprint,acceleration,0.428,7
31/08/2024,dynamic,agility,acceleration,0.428,10
16/09/2024,dynamic,sprint,acceleration,0.4955,22
23/09/2024,dynamic,agility,deceleration,0.896,7
05/10/2024,isometric,jump,take off,0.426,10
09/10/2024,dynamic,agility,acceleration,0.498,7
24/10/2024,isometric,jump,pre-load,0.6935,7
02/11/2024,isometric,agility,acceleration,0.677,7
13/11/2024,dynamic,jump,land,0.666,7
13/11/2024,isometric,upper body,push,0.936,22
23/11/2024,isometric,upper body,push,0.936,7
02/12/2024,isometric,agility,deceleration,0.8655,7
17/12/2024,isometric,jump,take off,0.4,7
29/12/2024,dynamic,upper body,push,0.498,22
04/01/2025,isometric,upper body,grapple,0.6705,7
04/01/2025,dynamic,sprint,max velocity,0.663,7
13/01/2025,isometric,agility,rotate,0.6675,22
21/01/2025,dynamic,jump,land,0.7465,22
22/01/2025,isometric,jump,land,0.46,22
23/01/2025,dynamic,jump,pre-load,0.53,7
23/01/2025,dynamic,sprint,acceleration,0.5,22
06/02/2025,isometric,agility,rotate,0.6415,22
08/02/2025,isometric,sprint,acceleration,0.79,7
18/02/2025,dynamic,jump,land,0.745,22
23/02/2025,dynamic,upper body,pull,0.87,7
26/02/2025,dynamic,jump,land,0.745,10
26/02/2025,isometric,agility,rotate,0.6385,22
28/02/2025,isometric,jump,take off,0.3955,10
08/03/2025,dynamic,agility,deceleration,0.88,7
08/03/2025,isometric,sprint,max velocity,0.77,22
25/07/2023,dynamic,upper body,push,0.345,7
28/07/2023,isometric,agility,rotate,87.3,10
02/08/2023,isometric,agility,deceleration,0.781,7
08/08/2023,dynamic,upper body,push,0.37,22
12/08/2023,dynamic,jump,take off,0.7335,22
19/08/2023,dynamic,upper body,pull,0.87,10
04/09/2023,isometric,upper body,push,93.9,7
10/09/2023,dynamic,sprint,max velocity,0.5845,22
16/09/2023,isometric,agility,acceleration,0.52,10
17/09/2023,dynamic,sprint,max velocity,0.5845,22
02/10/2023,dynamic,sprint,max velocity,0.5705,22
05/10/2023,dynamic,agility,acceleration,0.4305,7
05/10/2023,dynamic,sprint,acceleration,0.4305,22
06/10/2023,dynamic,sprint,max velocity,0.5705,7
13/10/2023,isometric,upper body,pull,90.4,22
16/10/2023,dynamic,jump,take off,0.72,10
19/10/2023,dynamic,jump,take off,0.72,22
21/10/2023,dynamic,jump,pre-load,0.564,7
07/11/2023,isometric,sprint,acceleration,0.52,7
09/11/2023,dynamic,upper body,push,0.431,10
15/11/2023,isometric,sprint,acceleration,0.52,22
25/11/2023,dynamic,upper body,push,0.4305,22
05/12/2023,isometric,jump,pre-load,0.52,10
27/12/2023,isometric,jump,pre-load,0.52,22
05/01/2024,isometric,sprint,acceleration,0.52,22
07/01/2024,isometric,sprint,max velocity,76.6,7
08/01/2024,dynamic,upper body,push,0.426,22
16/01/2024,dynamic,agility,deceleration,0.879,22
18/01/2024,isometric,jump,land,92.4,10
19/01/2024,isometric,jump,land,76.5,10
20/01/2024,isometric,upper body,push,0.687,7
28/01/2024,dynamic,agility,deceleration,0.879,22
08/02/2024,dynamic,jump,pre-load,0.53,22
09/02/2024,dynamic,upper body,push,0.4345,22
11/02/2024,dynamic,upper body,push,0.4345,7
11/02/2024,isometric,agility,acceleration,0.52,7
20/02/2024,isometric,agility,acceleration,0.52,10
21/02/2024,dynamic,upper body,pull,0.89,7
23/02/2024,isometric,upper body,grapple,93.7,22
26/02/2024,isometric,sprint,acceleration,0.52,22
28/02/2024,isometric,sprint,acceleration,0.52,7
29/02/2024,dynamic,sprint,acceleration,0.4445,22
03/03/2024,dynamic,agility,deceleration,0.89,22
04/03/2024,isometric,upper body,pull,82.0,7
14/03/2024,dynamic,jump,take off,0.6525,7
19/03/2024,dynamic,jump,land,0.668,22
30/03/2024,isometric,jump,pre-load,0.52,22
31/03/2024,dynamic,jump,land,0.6625,22
07/04/2024,isometric,upper body,pull,90.4,10
12/04/2024,isometric,upper body,push,0.704,10
17/04/2024,isometric,upper body,grapple,93.9,10
26/04/2024,isometric,upper body,pull,114.5,7
30/04/2024,dynamic,sprint,max velocity,0.628,10
05/05/2024,isometric,agility,acceleration,0.52,7
05/05/2024,dynamic,sprint,max velocity,0.628,7
11/05/2024,isometric,jump,land,97.4,10
18/05/2024,dynamic,upper body,push,0.43,10
08/06/2024,dynamic,sprint,max velocity,0.625,10
23/06/2024,isometric,agility,deceleration,1.1365,22
30/06/2024,dynamic,jump,pre-load,0.4655,10
12/07/2024,isometric,upper body,grapple,103.6,22
21/07/2024,dynamic,upper body,push,0.488,7
03/08/2024,isometric,sprint,max velocity,0.756,22
06/08/2024,isometric,upper body,push,0.96,10
12/08/2024,dynamic,jump,land,0.652,7
14/08/2024,dynamic,upper body,push,0.428,7
29/08/2024,isometric,jump,pre-load,0.731,7
31/08/2024,isometric,upper body,pull,108.7,22
02/09/2024,dynamic,jump,land,0.641,10
05/09/2024,isometric,jump,pre-load,0.7275,7
22/09/2024,dynamic,sprint,acceleration,0.494,7
24/09/2024,dynamic,upper body,push,0.494,7
25/09/2024,dynamic,upper body,pull,0.896,22
03/10/2024,isometric,upper body,pull,94.9,22
08/10/2024,dynamic,jump,land,0.65,10
22/10/2024,dynamic,jump,take off,0.7165,22
04/11/2024,dynamic,agility,deceleration,0.88,7
10/11/2024,dynamic,jump,land,0.666,10
19/11/2024,dynamic,jump,land,0.666,7
29/11/2024,isometric,agility,acceleration,0.79,7
02/12/2024,isometric,jump,pre-load,0.796,22
03/12/2024,dynamic,jump,land,0.728,10
04/12/2024,isometric,sprint,max velocity,0.685,22
12/12/2024,dynamic,jump,land,0.728,22
13/12/2024,isometric,jump,land,0.4,10
13/12/2024,dynamic,jump,pre-load,0.557,7
20/12/2024,isometric,agility,rotate,0.68,7
22/12/2024,dynamic,sprint,max velocity,0.6645,10
28/12/2024,dynamic,agility,deceleration,0.876,7
02/01/2025,isometric,agility,deceleration,0.9155,10
19/01/2025,dynamic,jump,take off,0.67,10
20/01/2025,dynamic,jump,take off,0.67,22
20/01/2025,dynamic,upper body,push,0.5,10
21/01/2025,isometric,agility,rotate,0.6675,22
25/01/2025,dynamic,agility,deceleration,0.853,7
31/01/2025,dynamic,upper body,push,0.4965,7
04/02/2025,dynamic,agility,deceleration,0.873,7
13/02/2025,isometric,upper body,pull,0.805,7
13/02/2025,isometric,agility,rotate,0.6415,22
23/02/2025,isometric,upper body,grapple,0.6385,7
02/03/2025,dynamic,agility,deceleration,0.87,10
06/03/2025,dynamic,agility,deceleration,0.88,10
02/07/2023,isometric,sprint,acceleration,92.9,10
26/07/2023,isometric,sprint,acceleration,79.3,22
04/08/2023,dynamic,jump,take off,0.7365,7
13/08/2023,dynamic,jump,pre-load,0.6175,7
19/08/2023,isometric,upper body,pull,88.8,7
20/08/2023,isometric,upper body,push,82.8,22
24/08/2023,isometric,upper body,pull,86.0,10
29/08/2023,isometric,sprint,max velocity,108.7,10
30/08/2023,isometric,jump,pre-load,0.52,7
01/09/2023,dynamic,upper body,push,0.3945,10
01/09/2023,isometric,agility,rotate,91.1,10
03/09/2023,dynamic,sprint,acceleration,0.3945,22
11/09/2023,isometric,upper body,push,81.2,22
29/09/2023,dynamic,jump,land,0.69,22
04/10/2023,isometric,upper body,pull,103.7,22
05/10/2023,isometric,upper body,grapple,99.6,7
13/10/2023,isometric,jump,take off,100.1,22
26/10/2023,dynamic,jump,land,0.6615,10
09/11/2023,isometric,jump,land,69.9,7
09/11/2023,dynamic,sprint,acceleration,0.431,10
16/11/2023,dynamic,agility,acceleration,0.43,10
10/12/2023,dynamic,sprint,acceleration,0.43,10
19/12/2023,dynamic,sprint,acceleration,0.43,22
20/12/2023,dynamic,jump,land,0.674,22
23/12/2023,isometric,agility,deceleration,1.112,7
29/12/2023,isometric,agility,rotate,109.5,7
02/01/2024,isometric,jump,land,84.4,22
03/01/2024,isometric,agility,rotate,97.8,10
16/01/2024,isometric,jump,take off,115.2,7
22/01/2024,isometric,agility,rotate,111.6,22
25/01/2024,dynamic,upper body,push,0.4345,22
05/02/2024,isometric,upper body,grapple,80.2,22
06/02/2024,isometric,jump,land,75.6,10
06/02/2024,dynamic,sprint,acceleration,0.4445,22
08/02/2024,dynamic,upper body,pull,0.89,22
15/02/2024,isometric,sprint,max velocity,104.3,22
16/02/2024,isometric,sprint,max velocity,91.4,22
24/02/2024,isometric,jump,pre-load,0.52,7
29/02/2024,dynamic,upper body,push,0.4445,7
01/03/2024,isometric,agility,rotate,85.0,22
06/03/2024,isometric,upper body,grapple,96.2,10
12/03/2024,isometric,agility,deceleration,1.138,7
13/03/2024,isometric,jump,pre-load,0.52,22
20/03/2024,dynamic,sprint,max velocity,0.637,7
28/03/2024,isometric,jump,take off,88.4,7
07/04/2024,dynamic,jump,pre-load,0.521,10
11/04/2024,isometric,jump,take off,97.0,22
13/04/2024,dynamic,agility,acceleration,0.43,22
19/04/2024,isometric,sprint,max velocity,-0.2,10
20/04/2024,dynamic,jump,take off,0.64,10
06/05/2024,dynamic,agility,acceleration,0.43,22
08/05/2024,isometric,agility,rotate,90.7,22
10/05/2024,dynamic,agility,acceleration,0.43,10
13/05/2024,isometric,agility,deceleration,1.1365,7
18/05/2024,dynamic,sprint,max velocity,0.625,7
03/06/2024,isometric,upper body,grapple,97.2,10
11/06/2024,isometric,agility,acceleration,0.49,7
19/06/2024,isometric,upper body,pull,81.1,10
23/06/2024,isometric,upper body,push,0.704,7
30/06/2024,dynamic,jump,take off,0.639,7
03/07/2024,isometric,upper body,pull,104.2,22
03/07/2024,isometric,agility,rotate,97.0,22
10/07/2024,dynamic,sprint,acceleration,0.491,7
13/07/2024,isometric,jump,land,0.4125,7
13/07/2024,dynamic,jump,pre-load,0.5175,22
19/07/2024,isometric,upper body,grapple,0.278,22
20/07/2024,isometric,jump,take off,0.3975,22
09/08/2024,isometric,jump,take off,0.363,10
23/08/2024,dynamic,agility,deceleration,0.855,7
26/08/2024,dynamic,upper body,push,0.428,22
01/09/2024,isometric,upper body,pull,96.5,7
07/09/2024,dynamic,jump,take off,0.72,10
08/09/2024,isometric,jump,land,0.33,10
12/09/2024,dynamic,jump,pre-load,0.505,22
13/09/2024,isometric,jump,take off,0.368,10
13/09/2024,isometric,upper body,grapple,0.6315,7
14/09/2024,isometric,agility,rotate,0.6315,22
22/09/2024,isometric,agility,deceleration,0.869,7
23/09/2024,isometric,agility,deceleration,0.869,7
27/09/2024,isometric,upper body,push,0.936,10
16/10/2024,dynamic,upper body,push,0.498,10
17/10/2024,isometric,upper body,push,0.936,10
20/10/2024,dynamic,upper body,pull,0.88,10
23/10/2024,dynamic,agility,acceleration,0.486,10
28/10/2024,dynamic,jump,pre-load,0.57,22
18/11/2024,dynamic,sprint,acceleration,0.47,7
20/11/2024,isometric,sprint,acceleration,0.799,7
22/11/2024,isometric,upper body,grapple,0.6795,7
28/12/2024,isometric,sprint,acceleration,0.79,7
30/12/2024,isometric,upper body,grapple,0.6705,10
04/01/2025,dynamic,jump,pre-load,0.497,7
11/01/2025,isometric,upper body,push,0.918,22
15/01/2025,isometric,jump,land,0.46,22
17/01/2025,dynamic,agility,deceleration,0.853,7
20/01/2025,dynamic,jump,pre-load,0.474,7
31/01/2025,dynamic,jump,take off,0.6825,22
03/02/2025,isometric,upper body,push,0.96,22
18/02/2025,isometric,agility,deceleration,0.96,10
11/03/2025,dynamic,agility,acceleration,0.495,22
04/07/2023,dynamic,jump,pre-load,0.554,10
05/07/2023,dynamic,upper body,pull,0.87,10
21/07/2023,isometric,agility,rotate,78.8,10
05/08/2023,isometric,jump,pre-load,107.0,10
05/08/2023,isometric,agility,rotate,89.9,10
07/08/2023,dynamic,agility,acceleration,0.39,7
22/08/2023,isometric,upper body,grapple,97.3,22
23/08/2023,isometric,agility,acceleration,86.8,10
31/08/2023,isometric,upper body,grapple,92.6,22
12/10/2023,isometric,agility,deceleration,1.038,22
18/10/2023,dynamic,jump,land,0.6615,10
24/10/2023,dynamic,jump,land,0.6615,7
27/10/2023,isometric,upper body,pull,93.0,10
28/10/2023,isometric,jump,pre-load,0.52,7
07/11/2023,dynamic,jump,take off,0.651,22
20/11/2023,isometric,sprint,acceleration,0.52,7
22/11/2023,dynamic,jump,land,0.69,7
23/11/2023,isometric,upper body,grapple,61.8,7
23/11/2023,isometric,agility,rotate,95.8,22
24/11/2023,isometric,agility,deceleration,1.038,22
28/12/2023,isometric,sprint,acceleration,0.52,7
04/01/2024,isometric,jump,land,109.7,7
08/01/2024,dynamic,agility,acceleration,0.426,10
13/01/2024,isometric,jump,land,95.4,7
25/01/2024,isometric,agility,deceleration,1.138,10
01/02/2024,isometric,upper body,pull,80.4,7
03/02/2024,dynamic,agility,acceleration,0.4445,10
22/02/2024,dynamic,sprint,max velocity,0.637,22
24/02/2024,isometric,jump,take off,96.5,7
07/03/2024,dynamic,jump,pre-load,0.5,7
10/03/2024,isometric,upper body,grapple,100.6,7
12/03/2024,isometric,sprint,max velocity,95.1,7
16/03/2024,isometric,jump,take off,89.3,10
23/03/2024,dynamic,jump,pre-load,0.524,7
31/03/2024,isometric,sprint,max velocity,87.6,22
02/04/2024,dynamic,jump,pre-load,0.521,22
03/04/2024,isometric,upper body,grapple,87.5,7
10/04/2024,dynamic,jump,take off,0.64,22
19/04/2024,isometric,upper body,push,0.704,7
21/04/2024,isometric,agility,deceleration,1.1365,7
28/04/2024,isometric,jump,take off,97.0,22
29/04/2024,dynamic,agility,acceleration,0.43,7
06/05/2024,isometric,jump,pre-load,0.52,22
07/05/2024,isometric,jump,take off,75.9,10
13/05/2024,isometric,agility,acceleration,0.52,7
16/05/2024,isometric,upper body,grapple,86.3,10
17/05/2024,isometric,agility,deceleration,1.1365,22
18/05/2024,isometric,upper body,grapple,106.0,10
29/05/2024,dynamic,upper body,push,0.43,10
04/06/2024,isometric,agility,rotate,106.3,22
05/06/2024,isometric,upper body,grapple,75.2,10
06/06/2024,isometric,agility,acceleration,0.49,10
08/06/2024,isometric,jump,land,78.7,22
16/06/2024,dynamic,agility,acceleration,0.43,10
22/06/2024,isometric,jump,land,87.3,22
08/07/2024,dynamic,upper body,pull,0.897,10
13/07/2024,dynamic,jump,take off,0.695,22
22/07/2024,isometric,jump,take off,0.3975,22
29/07/2024,isometric,jump,pre-load,0.685,10
31/07/2024,isometric,upper body,pull,98.9,10
02/08/2024,isometric,agility,deceleration,1.032,10
09/08/2024,dynamic,upper body,push,0.428,7
15/08/2024,isometric,agility,acceleration,0.7305,7
16/08/2024,dynamic,jump,pre-load,0.5095,7
22/08/2024,dynamic,upper body,pull,0.855,22
26/08/2024,isometric,agility,rotate,0.5075,10
27/08/2024,isometric,upper body,grapple,0.6015,22
01/09/2024,isometric,jump,land,0.363,7
05/09/2024,dynamic,jump,take off,0.72,10
18/09/2024,isometric,upper body,grapple,0.6315,22
25/09/2024,isometric,upper body,pull,71.7,10
27/09/2024,isometric,upper body,pull,89.5,22
02/10/2024,isometric,upper body,push,0.936,10
13/10/2024,isometric,upper body,pull,85.3,7
15/10/2024,dynamic,jump,take off,0.7165,7
16/10/2024,dynamic,sprint,acceleration,0.498,10
23/10/2024,dynamic,jump,pre-load,0.5375,22
28/10/2024,dynamic,jump,take off,0.69,7
03/11/2024,dynamic,jump,land,0.666,7
11/11/2024,dynamic,jump,land,0.666,7
12/11/2024,dynamic,sprint,max velocity,0.665,10
17/11/2024,dynamic,upper body,pull,0.88,10
23/11/2024,isometric,agility,acceleration,0.799,22
24/11/2024,isometric,jump,land,0.444,22
27/11/2024,dynamic,upper body,push,0.47,22
15/12/2024,isometric,agility,acceleration,0.796,10
07/01/2025,isometric,jump,land,0.42,10
09/01/2025,isometric,agility,deceleration,0.92,22
12/01/2025,isometric,jump,take off,0.46,22
12/01/2025,dynamic,upper body,pull,0.853,10
03/02/2025,isometric,sprint,acceleration,0.79,22
04/02/2025,isometric,agility,deceleration,0.96,7
17/02/2025,isometric,upper body,push,0.9555,10
20/02/2025,dynamic,agility,deceleration,0.87,22
25/02/2025,dynamic,jump,land,0.745,10
03/03/2025,isometric,upper body,pull,0.854,7
09/03/2025,isometric,agility,rotate,0.627,10
11/03/2025,dynamic,jump,pre-load,0.5225,10
05/07/2023,isometric,upper body,push,103.3,10
15/07/2023,isometric,upper body,grapple,73.2,10
17/07/2023,dynamic,jump,land,0.6975,7
01/08/2023,dynamic,sprint,max velocity,0.67,10
04/08/2023,isometric,agility,deceleration,0.818,10
20/08/2023,dynamic,jump,land,0.69,22
24/08/2023,isometric,agility,acceleration,90.9,10
02/09/2023,dynamic,upper body,push,0.3945,22
04/09/2023,dynamic,agility,deceleration,0.877,7
17/09/2023,dynamic,jump,pre-load,0.51,7
08/11/2023,isometric,jump,pre-load,0.52,7
08/11/2023,isometric,upper body,push,0.67,7
13/11/2023,isometric,sprint,acceleration,0.52,22
17/11/2023,isometric,sprint,acceleration,0.52,10
18/11/2023,isometric,jump,take off,86.1,7
26/11/2023,dynamic,jump,take off,0.631,10
28/11/2023,isometric,agility,rotate,104.7,22
29/11/2023,dynamic,agility,deceleration,0.87,22
06/12/2023,isometric,agility,acceleration,0.52,22
15/12/2023,isometric,agility,rotate,96.0,7
02/01/2024,isometric,agility,rotate,84.1,10
07/01/2024,dynamic,agility,acceleration,0.426,10
08/01/2024,isometric,sprint,acceleration,0.52,10
13/01/2024,dynamic,sprint,max velocity,0.598,22
14/01/2024,isometric,jump,take off,98.5,7
21/01/2024,isometric,upper body,pull,86.1,22
22/01/2024,dynamic,jump,land,0.668,22
22/01/2024,isometric,upper body,push,0.6385,10
29/01/2024,isometric,agility,acceleration,0.52,22
02/02/2024,isometric,upper body,pull,100.0,10
02/03/2024,dynamic,jump,take off,0.6625,7
02/03/2024,dynamic,upper body,push,0.4445,10
08/03/2024,isometric,jump,pre-load,0.52,7
23/03/2024,isometric,jump,pre-load,0.52,10
01/04/2024,isometric,upper body,grapple,87.6,22
11/04/2024,isometric,jump,land,100.5,22
13/04/2024,dynamic,sprint,acceleration,0.43,7
28/04/2024,isometric,jump,pre-load,0.52,7
27/05/2024,dynamic,sprint,acceleration,0.43,7
29/05/2024,isometric,agility,deceleration,1.1365,10
31/05/2024,dynamic,jump,land,0.664,10
31/05/2024,isometric,agility,acceleration,0.49,7
18/06/2024,isometric,agility,acceleration,0.49,22
03/07/2024,isometric,upper body,grapple,94.4,10
18/07/2024,dynamic,sprint,max velocity,0.6725,10
22/07/2024,dynamic,jump,pre-load,0.466,10
31/07/2024,isometric,sprint,acceleration,0.7305,7
02/08/2024,dynamic,upper body,push,0.428,7
03/08/2024,isometric,upper body,grapple,0.384,7
05/08/2024,dynamic,jump,take off,0.749,7
12/08/2024,dynamic,jump,pre-load,0.5095,7
13/08/2024,dynamic,sprint,acceleration,0.428,22
17/08/2024,isometric,jump,land,0.363,22
01/09/2024,dynamic,sprint,acceleration,0.428,7
04/09/2024,isometric,agility,rotate,0.6405,10
07/09/2024,isometric,agility,rotate,0.6315,7
08/09/2024,dynamic,jump,land,0.6495,22
12/09/2024,dynamic,sprint,max velocity,0.688,22
19/09/2024,dynamic,jump,take off,0.7055,10
24/09/2024,isometric,jump,take off,0.426,22
28/09/2024,isometric,sprint,acceleration,0.72,7
05/10/2024,isometric,upper body,push,0.936,10
07/10/2024,isometric,agility,acceleration,0.6925,7
12/10/2024,isometric,agility,rotate,0.6595,7
25/10/2024,dynamic,upper body,push,0.486,10
03/11/2024,dynamic,upper body,push,0.486,7
08/11/2024,isometric,agility,acceleration,0.7145,22
08/11/2024,dynamic,sprint,acceleration,0.47,7
11/11/2024,dynamic,agility,acceleration,0.47,10
13/11/2024,isometric,agility,deceleration,0.866,10
17/11/2024,isometric,upper body,push,0.936,10
21/11/2024,isometric,upper body,push,0.936,7
30/11/2024,isometric,sprint,max velocity,0.73,10
04/12/2024,dynamic,sprint,acceleration,0.498,10
09/12/2024,dynamic,jump,land,0.728,7
18/12/2024,dynamic,upper body,pull,0.876,22
26/12/2024,isometric,upper body,pull,0.46,7
27/12/2024,dynamic,jump,take off,0.69,10
08/01/2025,isometric,agility,deceleration,0.92,10
10/01/2025,dynamic,jump,land,0.7365,7
13/01/2025,dynamic,upper body,push,0.5,22
17/01/2025,dynamic,upper body,pull,0.853,10
28/01/2025,isometric,jump,pre-load,0.79,10
30/01/2025,dynamic,upper body,pull,0.873,10
31/01/2025,dynamic,agility,acceleration,0.4965,7
08/02/2025,isometric,jump,land,0.39,10
13/02/2025,dynamic,jump,take off,0.68,22
14/02/2025,isometric,agility,deceleration,0.958,10
16/02/2025,isometric,sprint,max velocity,0.728,10
25/02/2025,isometric,upper body,pull,0.7975,22
04/03/2025,isometric,jump,take off,0.3955,10
14/07/2023,dynamic,sprint,acceleration,0.336,7
20/07/2023,isometric,jump,pre-load,122.6,7
22/07/2023,dynamic,jump,take off,0.7365,7
24/07/2023,isometric,upper body,pull,89.5,22
25/07/2023,dynamic,jump,land,0.69,10
28/07/2023,dynamic,upper body,push,0.345,7
28/07/2023,dynamic,agility,deceleration,0.8525,22
07/08/2023,isometric,upper body,pull,93.8,10
11/08/2023,isometric,sprint,max velocity,85.2,22
22/08/2023,isometric,sprint,acceleration,90.0,7
06/09/2023,isometric,sprint,acceleration,0.52,7
11/09/2023,isometric,jump,pre-load,0.52,7
19/09/2023,isometric,jump,take off,63.0,22
28/09/2023,dynamic,jump,pre-load,0.49,22
14/10/2023,isometric,jump,pre-load,0.52,7
23/10/2023,isometric,jump,pre-load,0.52,22
30/10/2023,dynamic,jump,land,0.6615,7
05/11/2023,isometric,sprint,max velocity,94.7,7
09/11/2023,dynamic,jump,pre-load,0.497,10
17/11/2023,dynamic,upper body,pull,0.871,22
19/11/2023,dynamic,sprint,acceleration,0.43,7
21/11/2023,dynamic,agility,deceleration,0.871,7
29/11/2023,dynamic,sprint,acceleration,0.43,22
05/12/2023,dynamic,jump,land,0.688,10
09/12/2023,dynamic,jump,pre-load,0.4955,10
13/12/2023,isometric,agility,deceleration,1.04,7
16/12/2023,isometric,upper body,push,0.664,22
01/01/2024,isometric,jump,take off,103.4,10
03/01/2024,dynamic,agility,acceleration,0.426,22
15/01/2024,isometric,upper body,pull,94.0,22
17/01/2024,isometric,upper body,grapple,76.9,7
27/01/2024,isometric,jump,pre-load,0.52,10
03/02/2024,dynamic,sprint,max velocity,0.646,7
04/02/2024,isometric,agility,deceleration,1.138,10
12/02/2024,dynamic,agility,deceleration,0.89,10
23/02/2024,isometric,agility,deceleration,1.148,10
21/03/2024,dynamic,agility,acceleration,0.4445,10
23/03/2024,isometric,upper body,pull,82.0,10
29/03/2024,isometric,jump,land,65.7,22
30/03/2024,isometric,agility,rotate,99.8,7
10/04/2024,dynamic,sprint,acceleration,0.44,22
11/04/2024,dynamic,upper body,pull,0.89,10
30/04/2024,isometric,upper body,push,0.704,7
03/05/2024,isometric,upper body,push,0.704,10
13/05/2024,dynamic,upper body,push,0.43,7
13/05/2024,isometric,upper body,push,0.704,22
14/05/2024,dynamic,sprint,max velocity,0.625,7
17/06/2024,dynamic,agility,deceleration,0.89,7
22/06/2024,dynamic,upper body,push,0.436,7
26/06/2024,isometric,jump,land,79.9,7
27/06/2024,dynamic,jump,pre-load,0.4655,7
27/06/2024,dynamic,upper body,pull,0.89,10
28/06/2024,isometric,upper body,push,0.704,7
01/07/2024,isometric,upper body,grapple,89.7,7
23/07/2024,dynamic,upper body,pull,0.855,22
26/07/2024,isometric,agility,acceleration,0.685,7
